id,year,wardno,noofoccupidhouses,noofhouseholds,totalpop,totalmale,totalfemale,totalcaste,malecaste,femalecaste,totaltribes,maletribes,femaletribes,totalliterates,maleliterates,femaleliterates,totalilliterates,maleilliterates,femaleilliterates
1,1991,1,2768,2901,14819,7889,6930,1405,744,661,468,268,200,9337,5723,3614,5482,2166,3316
2,1991,2,2451,2456,13048,6888,6160,1758,919,839,532,301,231,7764,4834,2930,5284,2054,3230
3,1991,3,2595,2611,13873,7223,6650,1534,801,733,237,127,110,9127,5413,3714,4746,1810,2936
4,1991,4,2151,2239,12508,6552,5956,1198,622,576,83,48,35,7856,5200,2656,4652,1352,3300
5,1991,5,3739,3912,19970,10575,9395,2294,1202,1092,267,147,120,13760,8079,5681,6210,2496,3714
6,1991,6,3310,3404,16267,8765,7502,2197,1161,1036,261,147,114,10147,6133,4014,6120,2632,3488
7,1991,7,8096,8277,37891,19697,18194,2150,1048,1102,359,189,170,24286,13683,10603,13605,6014,7591
8,1991,8,3232,3570,16858,8479,8379,154,74,80,26,13,13,14376,7477,6899,2482,1002,1480
9,1991,9,5059,5375,25915,13860,12055,2953,1523,1430,207,108,99,13164,8359,4805,12751,5501,7250
10,1991,10,2386,2512,13818,7175,6643,1007,518,489,73,39,34,9330,5544,3786,4488,1631,2857
11,1991,11,3025,3028,15611,8120,7491,1125,598,527,262,137,125,10398,5941,4457,5213,2179,3034
12,1991,12,2509,2623,13408,7339,6069,690,374,316,167,89,78,10345,5955,4390,3063,1384,1679
13,1991,13,2526,2575,14434,8100,6334,1032,558,474,292,163,129,10171,6384,3787,4263,1716,2547
14,1991,14,4060,4109,21452,11663,9789,3788,1930,1858,131,77,54,12790,8049,4741,8662,3614,5048
15,1991,15,2148,2555,12753,6802,5951,333,206,127,144,79,65,10239,5873,4366,2514,929,1585
16,1991,16,3033,3170,14923,8007,6916,60,32,28,56,33,23,11154,6485,4669,3769,1522,2247
17,1991,17,3665,3785,19825,9926,9899,723,363,360,35,19,16,15227,8750,6477,4598,1176,3422
18,1991,18,4382,4435,22050,11432,10618,2248,1139,1109,51,22,29,15655,8901,6754,6395,2531,3864
19,1991,19,2462,2471,12279,6412,5867,421,227,194,26,15,11,9808,5463,4345,2471,949,1522
20,1991,20,1501,2602,12413,6570,5843,226,168,58,71,42,29,10616,5817,4799,1797,753,1044
21,1991,21,2507,2568,11992,6228,5764,57,29,28,10,5,5,9867,5278,4589,2125,950,1175
22,1991,22,2762,2777,12825,6645,6180,38,23,15,16,9,7,6847,5800,1047,5978,845,5133
23,1991,23,2751,2875,13424,6870,6554,62,28,34,32,18,14,11508,6093,5415,1916,777,1139
24,1991,24,2780,2869,13202,6894,6308,2,2,0,17,5,12,11270,6057,5213,1932,837,1095
25,1991,25,5419,5838,28418,14989,13429,6532,3326,3206,87,49,38,14670,9137,5533,13748,5852,7896
26,1991,26,5726,6055,30506,16037,14469,2777,1422,1355,364,186,178,19731,11726,8005,10775,4311,6464
27,1991,27,2116,2220,11418,6103,5315,233,133,100,31,16,15,8971,5159,3812,2447,944,1503
28,1991,28,2349,2451,11954,6246,5708,180,95,85,15,7,8,9956,5472,4484,1998,774,1224
29,1991,29,2440,2531,12257,6459,5798,69,32,37,12,7,5,10144,5510,4634,2113,949,1164
30,1991,30,1982,2073,11742,5622,6120,369,77,292,8,4,4,8025,4496,3529,3717,1126,2591
31,1991,31,2136,2276,11900,6187,5713,17,10,7,124,60,64,9877,5390,4487,2023,797,1226
32,1991,32,2031,2079,11229,5915,5314,73,34,39,52,30,22,9109,5065,4044,2120,850,1270
33,1991,33,2207,2222,11469,5813,5656,386,196,190,388,175,213,8586,4766,3820,2883,1047,1836
34,1991,34,2472,2579,13674,7159,6515,2303,1193,1110,69,37,32,7871,4795,3076,5803,2364,3439
35,1991,35,2225,2254,12379,6364,6015,665,344,321,111,55,56,8974,4980,3994,3405,1384,2021
36,1991,36,1750,1853,10434,5457,4977,32,14,18,83,47,36,8150,4621,3529,2284,836,1448
37,1991,37,1871,2078,13337,6935,6402,232,100,132,2,0,2,10035,5722,4313,3302,1213,2089
38,1991,38,2008,2009,12185,6316,5869,167,91,76,21,10,11,9150,5246,3904,3035,1070,1965
39,1991,39,2190,2225,12560,6578,5982,51,26,25,30,14,16,9530,5414,4116,3030,1164,1866
40,1991,40,1091,1339,12174,6421,5753,192,112,80,110,55,55,10049,5697,4352,2125,724,1401
41,1991,41,1483,1517,13661,7164,6497,1883,971,912,87,44,43,8466,5050,3416,5195,2114,3081
42,1991,42,5547,5643,27091,14291,12800,4266,2236,2030,113,57,56,18807,10611,8196,8284,3680,4604
43,1991,43,3590,4098,20345,10532,9813,1995,1048,947,109,61,48,13081,7377,5704,7264,3155,4109
44,1991,44,6130,6243,32063,16627,15436,3450,1771,1679,125,65,60,20936,11759,9177,11127,4868,6259
45,1991,45,2115,2120,12178,6364,5814,1122,554,568,86,42,44,8946,5080,3866,3232,1284,1948
46,1991,46,2231,2245,13307,6968,6339,325,174,151,55,29,26,9872,5632,4240,3435,1336,2099
47,1991,47,2058,2100,13468,6942,6526,905,463,442,93,47,46,9523,5468,4055,3945,1474,2471
48,1991,48,2625,2632,15783,8156,7627,2930,1487,1443,40,20,20,9050,5506,3544,6733,2650,4083
49,1991,49,2089,2183,13010,6876,6134,1457,733,724,78,43,35,8920,5303,3617,4090,1573,2517
50,1991,50,2051,2062,12229,6496,5733,382,203,179,84,48,36,8626,5037,3589,3603,1459,2144
51,1991,51,2298,2344,11607,6161,5446,192,101,91,286,133,153,9806,5450,4356,1801,711,1090
52,1991,52,2391,2411,11782,6270,5512,87,46,41,200,98,102,9535,5440,4095,2247,830,1417
53,1991,53,1958,1989,10860,5642,5218,1066,567,499,96,52,44,9305,4818,4487,1555,824,731
54,1991,54,2619,2729,14780,7658,7122,1975,1014,961,91,52,39,9757,5588,4169,5023,2070,2953
55,1991,55,2004,2096,15717,8304,7413,1516,778,738,212,118,94,8738,5459,3279,6979,2845,4134
56,1991,56,5190,5334,26231,13701,12530,4522,2318,2204,186,100,86,15173,8274,6899,11058,5427,5631
57,1991,57,3350,4127,18736,9624,9112,4075,2038,2037,112,62,50,12888,6551,6337,5848,3073,2775
58,1991,58,1924,1969,14143,7547,6596,2167,1134,1033,100,47,53,9018,5472,3546,5125,2075,3050
59,1991,59,2282,2304,13874,8150,5724,1082,607,475,193,120,73,8556,5706,2850,5318,2444,2874
60,1991,60,5962,6365,32608,17421,15187,3910,2028,1882,186,98,88,19327,11936,7391,13281,5485,7796
61,1991,61,4025,4125,22177,11491,10686,2437,1279,1158,101,59,42,14573,8501,6072,7604,2990,4614
62,1991,62,1684,1750,9287,5068,4219,639,350,289,65,52,13,7554,4176,3378,1733,892,841
63,1991,63,2096,2186,12321,6342,5979,1178,606,572,31,19,12,8841,4726,4115,3480,1616,1864
64,1991,64,2044,2056,12416,6481,5935,1068,577,491,84,48,36,9030,5145,3885,3386,1336,2050
65,1991,65,2118,2169,12690,6604,6086,701,361,340,17,10,7,8601,5001,3600,4089,1603,2486
66,1991,66,1878,1914,11800,6158,5642,987,524,463,73,37,36,7807,4668,3139,3993,1490,2503
67,1991,67,3767,3789,20363,10658,9705,4418,2263,2155,114,56,58,9656,5982,3674,10707,4676,6031
68,1991,68,2099,2103,12793,6702,6091,2671,1385,1286,11,6,5,8624,5061,3563,4169,1641,2528
69,1991,69,4134,4149,22457,11597,10860,6990,3580,3410,70,31,39,9629,6055,3574,12828,5542,7286
70,1991,70,2335,2394,14299,7114,7185,2707,1345,1362,4,2,2,9388,5190,4198,4911,1924,2987
71,1991,71,2291,2303,13208,6718,6490,3407,1729,1678,10,6,4,8110,4663,3447,5098,2055,3043
72,1991,72,2701,2754,12863,6673,6190,1489,751,738,106,62,44,8007,4835,3172,4856,1838,3018
73,1991,73,5390,5562,24618,12980,11638,2822,1448,1374,225,130,95,12742,8221,4521,11876,4759,7117
74,1991,74,4005,4152,21431,11784,9647,3962,2134,1828,223,144,79,13266,8350,4916,8165,3434,4731
75,1991,75,2712,2971,13961,7336,6625,1126,585,541,84,44,40,8338,5216,3122,5623,2120,3503
76,2001,1,3487,3493,16227,8822,7405,1239,655,584,489,260,229,11762,7007,4755,4465,1815,2650
77,2001,2,4398,4417,23347,12120,11227,5763,2977,2786,1006,551,455,15131,8891,6240,8216,3229,4987
78,2001,3,2443,2446,13077,6754,6323,3100,1586,1514,356,183,173,9031,5210,3821,4046,1544,2502
79,2001,4,4532,4630,24221,12686,11535,3291,1748,1543,440,235,205,18255,10263,7992,5966,2423,3543
80,2001,5,3292,3361,17502,9510,7992,1578,858,720,537,276,261,13771,8044,5727,3731,1466,2265
81,2001,6,4560,4584,20433,10571,9862,4414,2301,2113,245,125,120,14479,8025,6454,5954,2546,3408
82,2001,7,6036,6100,27433,14429,13004,3877,2025,1852,1266,660,606,16185,9392,6793,11248,5037,6211
83,2001,8,4353,4388,21273,11213,10060,3005,1580,1425,470,257,213,14537,8299,6238,6736,2914,3822
84,2001,9,3485,3630,18718,9710,9008,1741,907,834,225,119,106,12911,7226,5685,5807,2484,3323
85,2001,10,4681,4764,21480,11187,10293,1311,686,625,155,91,64,14676,8238,6438,6804,2949,3855
86,2001,11,2066,2098,10291,5380,4911,2099,1064,1035,191,102,89,4937,3112,1825,5354,2268,3086
87,2001,12,2295,2317,13009,7293,5716,1537,903,634,313,171,142,10014,6005,4009,2995,1288,1707
88,2001,13,3041,3098,16067,8561,7506,3296,1682,1614,93,53,40,9987,5988,3999,6080,2573,3507
89,2001,14,2289,2308,11319,5778,5541,1666,846,820,36,19,17,7585,4258,3327,3734,1520,2214
90,2001,15,2635,2684,11923,6125,5798,32,19,13,63,32,31,9830,5339,4491,2093,786,1307
91,2001,16,2964,2995,14615,7894,6721,1007,515,492,104,59,45,12259,6912,5347,2356,982,1374
92,2001,17,4829,4855,22481,11451,11030,1724,896,828,165,92,73,15542,8531,7011,6939,2920,4019
93,2001,18,11869,11896,50755,26559,24196,3665,1925,1740,378,200,178,36431,19862,16569,14324,6697,7627
94,2001,19,12815,12842,56824,29188,27636,4024,2032,1992,608,301,307,39217,21377,17840,17607,7811,9796
95,2001,20,4830,4863,21347,10836,10511,848,443,405,78,40,38,17477,9221,8256,3870,1615,2255
96,2001,21,3408,3712,17864,8867,8997,406,182,224,112,50,62,14090,7211,6879,3774,1656,2118
97,2001,22,4072,4090,19132,9836,9296,3506,1797,1709,154,78,76,13037,7266,5771,6095,2570,3525
98,2001,23,3224,3281,16118,8284,7834,7529,3832,3697,186,101,85,8431,4976,3455,7687,3308,4379
99,2001,24,3518,3522,16685,8582,8103,2107,1078,1029,70,36,34,12136,6778,5358,4549,1804,2745
100,2001,25,2632,2654,11778,6018,5760,1078,549,529,62,32,30,9392,5002,4390,2386,1016,1370
101,2001,26,2946,2968,12716,6506,6210,39,18,21,37,18,19,11246,5855,5391,1470,651,819
